query,spearman_cosine_euclidean,spearman_cosine_tanimoto,spearman_euclidean_tanimoto,n_pairs
16b371233c,0.932242883,0.932242883,1,77
9f3757e25f,0.952240685,0.947587354,0.999174662,77
5c820673f4,0.932242883,0.932242883,1,77
e5b34b7a7e,0.932242883,0.932242883,1,77
f587ab4841,0.932242883,0.932242883,1,77
993ca7a9d3,0.705826685,0.972153314,0.798291541,77
c1ad2eb251,0.932242883,0.932242883,1,77
295fe7e43f,0.96965573,0.968226994,0.999413947,77
79542593bf,0.96965573,0.968226994,0.999413947,77
2acf4a7d94,0.932242883,0.932242883,1,77
ef0c81d3c3,0.96965573,0.968226994,0.999413947,77
3c8614e23f,0.932242883,0.932242883,1,77
578688957e,0.974419703,0.826103134,0.925424828,77
7411818f2f,0.96965573,0.968226994,0.999413947,77
0a1f876187,0.932242883,0.932242883,1,77
d955384398,0.96965573,0.968226994,0.999413947,77
bec810b415,,,,21
3e972072c0,0.96965573,0.968226994,0.999413947,77
5561cee0f1,0.96965573,0.968226994,0.999413947,77
76116ff834,0.932242883,0.932242883,1,77
3462690eae,0.932242883,0.932242883,1,77
904699a6b4,,,,21
0be5847419,0.96965573,0.968226994,0.999413947,77
44610d9423,,,,21
2a6961b608,0.96790246,0.999481436,0.968245194,77
b5eb785ba2,0.96965573,0.968226994,0.999413947,77
aeb0f45af3,0.96965573,0.968226994,0.999413947,77
2c04f84e42,0.932242883,0.932242883,1,77
daa9d736f0,,,,21
2e598c5f48,0.895834242,0.980374405,0.918121283,77
a8cc09da5a,0.96965573,0.968226994,0.999413947,77
8df7781ca6,,,,21
e5162672f1,0.96790246,0.999481436,0.968245194,77
594071e47b,0.96790246,0.999481436,0.968245194,77
83c11dc120,0.96965573,0.968226994,0.999413947,77
792abb8d78,0.932242883,0.932242883,1,77
e8c1281c2d,0.932242883,0.932242883,1,77
31e44af24b,0.96790246,0.999481436,0.968245194,77
75ad495c46,,,,21
70d728a711,0.932242883,0.932242883,1,77
1c193db985,0.932242883,0.932242883,1,77
6c072b495e,0.961034817,0.936370532,0.865558356,77
d27c66146b,0.932242883,0.932242883,1,77
fda9371138,0.96965573,0.968226994,0.999413947,77
fa118e0c7c,0.932242883,0.932242883,1,77
d528119c40,0.932242883,0.932242883,1,77
dbc9e9334a,0.96965573,0.968226994,0.999413947,77
edf9eb8d30,,,,21
1a4dbcfe2e,0.932242883,0.932242883,1,77
45911d204b,0.96965573,0.968226994,0.999413947,77
e972a839d7,0.932242883,0.932242883,1,77
afa156f460,,,,21
49570acd5c,0.96965573,0.968226994,0.999413947,77
7273ef5547,0.96790246,0.999481436,0.968245194,77
645adf83cd,,,,21
b98dfcdf30,,,,21
5d97d2c921,0.96965573,0.968226994,0.999413947,77
d5bd190651,0.96965573,0.968226994,0.999413947,77
b628a8b347,,,,21
84f43e18ad,0.932242883,0.932242883,1,77
9fbb1b3a66,,,,21
2d0ac605d2,,,,21
8dc84aa3db,0.96965573,0.968226994,0.999413947,77
1cbd5b5eab,,,,21
c9708a84b0,-0.21849503,0.999783245,-0.218024732,77
40da33e795,0.095348514,0.178515278,0.971584796,77
60d7681b2f,0.932242883,0.932242883,1,77
6459812d6b,,,,21
ba2d896431,0.932242883,0.932242883,1,77
47eb113a57,0.932242883,0.932242883,1,77
24b14c77df,0.96965573,0.968226994,0.999413947,77
ea023193b4,0.96965573,0.968226994,0.999413947,77
295d57332f,,,,21
60e27e5483,0.96965573,0.968226994,0.999413947,77
d9071d626d,0.895834242,0.980374405,0.918121283,77
84521dc428,0.96965573,0.968226994,0.999413947,77
b1953a5046,0.96965573,0.968226994,0.999413947,77
4f6d44b445,0.895834242,0.980374405,0.918121283,77
95ef6d78e9,0.714769734,0.999783245,0.715037742,77
9be8e659c6,,,,21
ebc5179fb3,,,,21
ca81fc8052,0.932580655,0.980446715,0.953051611,77
cc9f4f7444,0.96965573,0.968226994,0.999413947,77
22f8ca9ffa,0.96965573,0.968226994,0.999413947,77
8fa6932400,,,,21
ef5aef1c52,,,,21
92dcd31ea2,0.932242883,0.932242883,1,77
662242bbf6,0.96965573,0.968226994,0.999413947,77
839b052acb,0.96790246,0.999481436,0.968245194,77
1835148875,0.96965573,0.968226994,0.999413947,77
c6ed58267a,0.96790246,0.999481436,0.968245194,77
f30aaa4135,0.895834242,0.980374405,0.918121283,77
b56abcdc76,0.932242883,0.932242883,1,77
b4811b7d42,,,,21
8369ade457,0.895834242,0.980374405,0.918121283,77
6fa92f2e5a,0.932242883,0.932242883,1,77
888be2b259,,,,21
85dece4590,0.96965573,0.968226994,0.999413947,77
5c7b84395a,0.96965573,0.968226994,0.999413947,77
1ab40d8a54,0.932242883,0.932242883,1,77
