query,overlap_cos_euc,overlap_cos_tan,overlap_euc_tan
16b371233c,1,1,1
9f3757e25f,1,1,1
5c820673f4,1,1,1
e5b34b7a7e,1,1,1
f587ab4841,1,1,1
993ca7a9d3,0.481481481,1,0.481481481
c1ad2eb251,1,1,1
295fe7e43f,0.666666667,0.666666667,1
79542593bf,0.666666667,0.666666667,1
2acf4a7d94,1,1,1
ef0c81d3c3,0.666666667,0.666666667,1
3c8614e23f,1,1,1
578688957e,0.739130435,0.739130435,1
7411818f2f,0.666666667,0.666666667,1
0a1f876187,1,1,1
d955384398,0.666666667,0.666666667,1
bec810b415,1,1,1
3e972072c0,0.666666667,0.666666667,1
5561cee0f1,0.666666667,0.666666667,1
76116ff834,1,1,1
3462690eae,1,1,1
904699a6b4,1,1,1
0be5847419,0.666666667,0.666666667,1
44610d9423,1,1,1
2a6961b608,1,1,1
b5eb785ba2,0.666666667,0.666666667,1
aeb0f45af3,0.666666667,0.666666667,1
2c04f84e42,1,1,1
daa9d736f0,1,1,1
2e598c5f48,0.481481481,0.481481481,1
a8cc09da5a,0.666666667,0.666666667,1
8df7781ca6,1,1,1
e5162672f1,1,1,1
594071e47b,1,1,1
83c11dc120,0.666666667,0.666666667,1
792abb8d78,1,1,1
e8c1281c2d,1,1,1
31e44af24b,1,1,1
75ad495c46,1,1,1
70d728a711,1,1,1
1c193db985,1,1,1
6c072b495e,1,1,1
d27c66146b,1,1,1
fda9371138,0.666666667,0.666666667,1
fa118e0c7c,1,1,1
d528119c40,1,1,1
dbc9e9334a,0.666666667,0.666666667,1
edf9eb8d30,1,1,1
1a4dbcfe2e,1,1,1
45911d204b,0.666666667,0.666666667,1
e972a839d7,1,1,1
afa156f460,1,1,1
49570acd5c,0.666666667,0.666666667,1
7273ef5547,1,1,1
645adf83cd,1,1,1
b98dfcdf30,1,1,1
5d97d2c921,0.666666667,0.666666667,1
d5bd190651,0.666666667,0.666666667,1
b628a8b347,1,1,1
84f43e18ad,1,1,1
9fbb1b3a66,1,1,1
2d0ac605d2,1,1,1
8dc84aa3db,0.666666667,0.666666667,1
1cbd5b5eab,1,1,1
c9708a84b0,0.290322581,1,0.290322581
40da33e795,0.052631579,0.081081081,0.904761905
60d7681b2f,1,1,1
6459812d6b,1,1,1
ba2d896431,1,1,1
47eb113a57,1,1,1
24b14c77df,0.666666667,0.666666667,1
ea023193b4,0.666666667,0.666666667,1
295d57332f,1,1,1
60e27e5483,0.666666667,0.666666667,1
d9071d626d,0.6,0.6,1
84521dc428,0.666666667,0.666666667,1
b1953a5046,0.666666667,0.666666667,1
4f6d44b445,0.6,0.6,1
95ef6d78e9,0.333333333,1,0.333333333
9be8e659c6,1,1,1
ebc5179fb3,1,1,1
ca81fc8052,0.6,0.6,1
cc9f4f7444,0.6,0.6,1
22f8ca9ffa,0.6,0.6,1
8fa6932400,1,1,1
ef5aef1c52,1,1,1
92dcd31ea2,1,1,1
662242bbf6,0.6,0.6,1
839b052acb,1,1,1
1835148875,0.6,0.6,1
c6ed58267a,1,1,1
f30aaa4135,0.6,0.6,1
b56abcdc76,1,1,1
b4811b7d42,1,1,1
8369ade457,0.6,0.6,1
6fa92f2e5a,1,1,1
888be2b259,1,1,1
85dece4590,0.666666667,0.666666667,1
5c7b84395a,0.666666667,0.666666667,1
1ab40d8a54,1,1,1
